date,air_carrier,air_taxi,general_aviatiion,military,itinerant_total,local_civil,local_military,local_total,total_operations
9/13/13,"37,537","27,585","47,450","4,986","117,558","38,638","4,538","43,176","160,734"
9/14/13,"28,655","19,235","44,774","1,750","94,414","35,393","1,242","36,635","131,049"
9/15/13,"33,963","22,507","38,779","1,795","97,044","25,203",921,"26,124","123,168"
9/16/13,"35,537","25,724","38,259","3,981","103,501","33,146","4,362","37,508","141,009"
9/17/13,"34,936","26,507","42,789","5,311","109,543","37,352","5,366","42,718","152,261"
9/18/13,"35,934","26,830","44,767","5,264","112,795","37,716","5,331","43,047","155,842"
9/19/13,"37,104","26,112","45,713","4,994","113,923","38,159","5,575","43,734","157,657"
9/20/13,"37,056","27,105","43,256","4,380","111,797","34,011","3,558","37,569","149,366"
9/21/13,"28,742","19,022","36,338","1,617","85,719","31,471",794,"32,265","117,984"
9/22/13,"33,733","21,827","38,068","1,460","95,088","25,605",802,"26,407","121,495"
9/23/13,"35,386","25,163","39,458","4,081","104,088","33,223","4,242","37,465","141,553"
9/24/13,"34,897","26,154","42,716","4,394","108,161","38,054","4,455","42,509","150,670"
9/25/13,"35,702","25,902","43,586","4,978","110,168","39,014","5,100","44,114","154,282"
9/26/13,"37,651","27,379","46,642","5,152","116,824","39,367","5,605","44,972","161,796"
9/27/13,"37,229","27,815","47,520","3,990","116,554","36,031","4,192","40,223","156,777"
9/28/13,"28,606","18,931","40,686",935,"89,158","33,478",690,"34,168","123,326"
9/29/13,"33,700","22,592","40,398","1,226","97,916","26,619",561,"27,180","125,096"
9/30/13,"35,207","25,163","40,748","2,970","104,088","37,160","3,168","40,328","144,416"
10/1/13,"35,023","25,158","43,122","3,087","106,390","38,748","3,457","42,205","148,595"
10/2/13,"36,144","26,487","45,149","3,369","111,149","40,850","3,960","44,810","155,959"
10/3/13,"37,328","26,962","42,639","3,266","110,195","38,479","3,361","41,840","152,035"
10/4/13,"37,079","26,484","42,097","2,643","108,303","33,660","3,327","36,987","145,290"
10/5/13,"28,637","17,820","33,892",922,"81,271","28,667",813,"29,480","110,751"
10/6/13,"33,716","22,118","34,713",685,"91,232","22,564",475,"23,039","114,271"
10/7/13,"35,255","25,038","35,976","3,007","99,276","33,216","3,906","37,122","136,398"
10/8/13,"35,614","25,481","43,684","3,621","108,400","40,991","4,366","45,357","153,757"
10/9/13,"36,063","26,209","43,731","3,506","109,509","38,123","3,744","41,867","151,376"
10/10/13,"37,464","26,686","45,135","3,440","112,725","39,252","3,878","43,130","155,855"
10/11/13,"37,008","27,424","46,470","2,603","113,505","37,259","2,925","40,184","153,689"
10/12/13,"28,982","18,471","38,571",513,"86,537","29,961",902,"30,863","117,400"
10/13/13,"33,705","21,451","37,133",323,"92,612","26,760",349,"27,109","119,721"
10/14/13,"35,573","25,382","40,169",553,"101,677","32,922",604,"33,526","135,203"
10/15/13,"35,369","25,048","38,321","3,226","101,964","34,034","3,959","37,993","139,957"
10/16/13,"36,463","26,063","40,782","3,945","107,253","37,665","4,066","41,731","148,984"
10/17/13,"37,611","26,794","44,610","4,118","113,133","39,958","4,678","44,636","157,769"
10/18/13,"37,422","26,782","47,231","3,884","115,319","39,411","4,606","44,017","159,336"
10/19/13,"29,273","17,866","39,903","1,358","88,400","33,104","1,279","34,383","122,783"
10/20/13,"34,052","22,088","40,428","1,291","97,859","25,474",823,"26,297","124,156"
10/21/13,"35,597","24,778","39,945","4,108","104,428","34,988","5,000","39,988","144,416"
10/22/13,"35,762","25,245","41,317","4,939","107,263","37,830","5,324","43,154","150,417"
10/23/13,"36,079","25,862","42,468","4,918","109,327","38,916","5,437","44,353","153,680"
10/24/13,"37,561","26,852","44,560","5,123","114,096","38,845","5,846","44,691","158,787"
10/25/13,"37,311","26,582","47,236","4,522","115,651","37,929","5,174","43,103","158,754"
10/26/13,"29,061","18,190","38,967","1,414","87,632","32,506","1,177","33,683","121,315"
10/27/13,"33,597","21,225","39,122","1,570","95,514","26,962",793,"27,755","123,269"
10/28/13,"35,556","25,042","36,952","4,108","101,658","33,133","4,705","37,838","139,496"
10/29/13,"35,597","25,467","42,080","5,628","108,772","38,816","5,667","44,483","153,255"
10/30/13,"36,142","24,738","39,813","4,924","105,617","35,370","4,778","40,148","145,765"
10/31/13,"34,950","23,889","33,252","3,918","96,009","27,182","4,561","31,743","127,752"
11/1/13,"36,571","25,392","41,086","4,763","107,812","32,950","5,195","38,145","145,957"
11/2/13,"29,426","17,822","39,382","2,437","89,067","32,548","2,191","34,739","123,806"
11/3/13,"33,513","20,686","37,949","1,999","94,147","27,309",997,"28,306","122,453"
11/4/13,"35,503","24,437","35,688","4,242","99,870","30,608","4,786","35,394","135,264"
11/5/13,"35,688","24,601","35,621","5,225","101,135","31,610","5,570","37,180","138,315"
11/6/13,"36,350","25,259","39,384","5,472","106,465","34,905","6,331","41,236","147,701"
11/7/13,"37,593","25,919","42,675","5,139","111,326","36,034","5,578","41,612","152,938"
11/8/13,"37,466","26,035","45,285","3,681","112,467","36,295","3,672","39,967","152,434"
11/9/13,"29,550","17,488","43,062",943,"91,043","33,470",846,"34,316","125,359"
11/10/13,"33,369","20,519","38,125",915,"92,928","26,961",796,"27,757","120,685"
11/11/13,"35,267","23,506","40,942",792,"100,507","35,507",951,"36,458","136,965"
11/12/13,"35,619","24,859","36,629","5,086","102,193","33,212","5,857","39,069","141,262"
11/13/13,"36,448","25,146","40,638","5,727","107,959","33,675","6,772","40,447","148,406"
11/14/13,"37,526","26,481","46,173","5,877","116,057","36,626","6,715","43,341","159,398"
11/15/13,"37,516","26,028","43,109","5,152","111,805","39,617","4,919","44,536","156,341"
11/16/13,"29,687","17,616","32,048","1,686","81,037","29,031","1,270","30,301","111,338"
11/17/13,"33,141","18,311","28,323","1,413","81,188","19,839",607,"20,446","101,634"
11/18/13,"35,897","24,289","37,128","4,630","101,944","32,689","4,677","37,366","139,310"
11/19/13,"35,882","24,690","41,065","5,532","107,169","37,448","5,441","42,889","150,058"
11/20/13,"36,373","25,181","42,342","6,058","109,954","38,485","5,752","44,237","154,191"
11/21/13,"37,457","25,224","33,270","5,044","100,995","26,716","4,073","30,789","131,784"
11/22/13,"37,990","24,271","30,250","2,821","95,332","21,270","1,980","23,250","118,582"
11/23/13,"30,976","17,765","32,958","1,115","82,814","27,988",867,"28,855","111,669"
11/24/13,"32,358","18,352","27,840","1,118","79,668","20,062",678,"20,740","100,408"
11/25/13,"33,920","21,656","33,317","3,908","92,801","27,996","3,923","31,919","124,720"
11/26/13,"37,338","25,020","31,839","3,485","97,682","26,476","4,641","31,117","128,799"
11/27/13,"38,676","24,813","34,039","2,093","99,621","25,426","2,820","28,246","127,867"
11/28/13,"23,578","12,445","12,863",158,"49,044","7,345",122,"7,467","56,511"
11/29/13,"28,183","17,609","32,797",411,"79,000","25,948",699,"26,647","105,647"
11/30/13,"34,003","20,408","37,463",317,"92,191","28,859",634,"29,493","121,684"
12/1/13,"37,274","23,193","37,326",401,"98,194","22,734",342,"23,076","121,270"
12/2/13,"37,186","24,359","33,743","3,827","99,115","29,302","3,725","33,027","132,142"
12/3/13,"36,112","23,524","34,741","4,632","99,009","31,216","5,301","36,517","135,526"
12/4/13,"36,140","23,031","36,779","4,565","100,515","30,711","4,114","34,825","135,340"
12/5/13,"36,192","22,726","33,219","4,594","96,731","26,307","4,092","30,399","127,130"
12/6/13,"34,608","21,819","29,378","3,272","89,077","25,161","2,951","28,112","117,189"
12/7/13,"28,057","15,969","28,071","1,831","73,928","24,822",971,"25,793","99,721"
12/8/13,"29,749","15,219","23,807","1,116","69,891","17,133",443,"17,576","87,467"
12/9/13,"33,937","20,833","26,083","2,818","83,671","20,117","2,380","22,497","106,168"
12/10/13,"34,309","22,608","34,091","5,030","96,038","28,307","5,416","33,723","129,761"
12/11/13,"36,343","24,796","42,198","5,742","109,079","36,359","6,199","42,558","151,637"
12/12/13,"37,737","25,203","42,159","5,551","110,650","33,832","5,545","39,377","150,027"
12/13/13,"37,522","24,428","38,414","4,545","104,909","31,551","4,389","35,940","140,849"
12/14/13,"28,354","15,014","24,200","1,410","68,978","21,433","1,122","22,555","91,533"
12/15/13,"33,113","18,137","27,622","1,433","80,305","20,788","1,076","21,864","102,169"
12/16/13,"35,394","22,890","37,406","4,160","99,850","30,597","3,935","34,532","134,382"
12/17/13,"35,564","23,208","38,525","5,208","102,505","31,195","5,862","37,057","139,562"
12/18/13,"37,699","24,839","44,701","5,285","112,524","35,716","5,363","41,079","153,603"
12/19/13,"39,054","24,805","38,466","4,797","107,122","28,416","4,774","33,190","140,312"
12/20/13,"39,485","25,547","33,587","2,775","101,394","25,191","2,840","28,031","129,425"
12/21/13,"35,504","20,168","26,613",431,"82,716","21,712",198,"21,910","104,626"
12/22/13,"34,804","18,000","20,846",257,"73,907","15,003",112,"15,115","89,022"
12/23/13,"36,155","22,015","26,113","1,412","85,695","20,300","1,205","21,505","107,200"
12/24/13,"31,755","18,483","19,680",401,"70,319","13,931",198,"14,129","84,448"
12/25/13,"27,532","13,420","8,319",70,"49,341","3,573",25,"3,598","52,939"
12/26/13,"37,382","24,649","29,531",845,"92,407","18,509",708,"19,217","111,624"
12/27/13,"38,244","25,025","37,452","1,561","102,282","27,390","1,571","28,961","131,243"
12/28/13,"34,063","20,210","37,123",353,"91,749","28,082",212,"28,294","120,043"
12/29/13,"33,783","18,302","19,342",226,"71,653","14,120",114,"14,234","85,887"
12/30/13,"35,167","22,210","30,353","1,788","89,518","24,394","1,847","26,241","115,759"
12/31/13,"31,697","19,245","27,057",701,"78,700","22,654",536,"23,190","101,890"
1/1/14,"29,244","16,406","18,310",136,"64,096","9,901",94,"9,995","74,091"
1/2/14,"34,257","20,896","24,397","1,544","81,094","17,315","1,111","18,426","99,520"
1/3/14,"33,666","21,402","31,242","2,652","88,962","22,636","3,235","25,871","114,833"
1/4/14,"31,619","19,001","33,576",957,"85,153","25,737",957,"26,694","111,847"
1/5/14,"30,380","16,885","24,771",640,"72,676","16,705",449,"17,154","89,830"
1/6/14,"31,402","18,215","24,180","2,420","76,217","16,634","2,406","19,040","95,257"
1/7/14,"31,449","19,763","28,649","4,430","84,291","20,484","5,116","25,600","109,891"
1/8/14,"34,667","22,465","30,943","4,871","92,946","24,942","5,779","30,721","123,667"
1/9/14,"36,228","23,005","28,576","4,795","92,604","22,351","4,692","27,043","119,647"
1/10/14,"35,809","21,921","26,155","3,839","87,724","22,168","3,660","25,828","113,552"
1/11/14,"28,126","15,188","25,524","2,218","71,056","21,321","1,950","23,271","94,327"
1/12/14,"32,149","18,457","32,375","2,311","85,292","25,191","2,114","27,305","112,597"
1/13/14,"34,375","21,766","35,127","3,941","95,209","29,376","4,131","33,507","128,716"
1/14/14,"33,773","22,086","31,442","5,372","92,673","26,269","6,119","32,388","125,061"
1/15/14,"34,862","22,792","39,424","5,586","102,664","33,159","6,316","39,475","142,139"
1/16/14,"36,126","23,412","37,812","5,342","102,692","28,476","6,249","34,725","137,417"
1/17/14,"36,010","24,546","42,410","4,471","107,437","34,127","5,589","39,716","147,153"
1/18/14,"28,009","15,653","34,743","1,411","79,816","30,351",822,"31,173","110,989"
1/19/14,"30,695","17,300","32,385","1,214","81,594","25,401",766,"26,167","107,761"
1/20/14,"33,990","22,749","41,727",943,"99,409","34,456",474,"34,930","134,339"
1/21/14,"29,790","19,963","31,654","3,975","85,382","25,695","4,921","30,616","115,998"
1/22/14,"32,646","21,622","36,959","4,713","95,940","30,098","5,997","36,095","132,035"
1/23/14,"36,123","24,368","36,037","4,661","101,189","28,730","5,661","34,391","135,580"
1/24/14,"35,128","22,404","36,849","4,272","98,653","29,447","4,655","34,102","132,755"
1/25/14,"28,277","16,197","34,435","1,773","80,682","30,381","1,558","31,939","112,621"
1/26/14,"31,665","17,964","32,335","1,531","83,495","24,564","1,023","25,587","109,082"
1/27/14,"33,844","21,419","29,849","4,057","89,169","24,869","4,374","29,243","118,412"
1/28/14,"30,088","19,376","31,847","3,539","84,850","28,662","3,950","32,612","117,462"
1/29/14,"31,341","20,902","32,176","4,028","88,447","25,760","4,659","30,419","118,866"
1/30/14,"34,209","23,658","30,453","4,662","92,982","22,889","6,107","28,996","121,978"
1/31/14,"35,732","24,040","33,958","3,872","97,602","29,825","4,955","34,780","132,382"
2/1/14,"27,723","15,637","31,376","1,718","76,454","31,549","1,476","33,025","109,479"
2/2/14,"29,308","15,313","22,220",761,"67,602","19,893",380,"20,273","87,875"
2/3/14,"31,955","20,998","31,407","2,961","87,321","27,936","2,520","30,456","117,777"
2/4/14,"32,526","21,381","30,976","3,914","88,797","28,854","3,653","32,507","121,304"
2/5/14,"31,013","19,679","28,798","3,946","83,436","23,575","3,748","27,323","110,759"
2/6/14,"35,552","23,299","30,143","4,632","93,626","25,153","4,884","30,037","123,663"
2/7/14,"36,105","23,795","31,951","4,601","96,452","27,886","4,039","31,925","128,377"
2/8/14,"28,080","15,967","27,691","2,066","73,804","26,936","1,773","28,709","102,513"
2/9/14,"31,529","18,108","26,489","1,778","77,904","20,700","1,126","21,826","99,730"
2/10/14,"34,195","22,434","31,098","3,556","91,283","26,459","3,043","29,502","120,785"
2/11/14,"32,431","21,676","35,871","4,115","94,093","31,991","3,976","35,967","130,060"
2/12/14,"29,642","22,235","38,189","4,624","94,690","32,000","4,438","36,438","131,128"
2/13/14,"27,758","19,450","36,969","4,986","89,163","29,130","5,736","34,866","124,029"
2/14/14,"35,559","24,541","41,037","3,734","104,871","28,950","3,713","32,663","137,534"
2/15/14,"29,441","17,316","33,554","1,366","81,677","28,308","1,033","29,341","111,018"
2/16/14,"31,933","18,143","33,203","1,232","84,511","27,554",904,"28,458","112,969"
2/17/14,"34,273","23,284","41,017","1,076","99,650","32,165",928,"33,093","132,743"
2/18/14,"35,322","24,304","40,025","5,142","104,793","33,959","5,073","39,032","143,825"
2/19/14,"36,367","25,222","39,701","5,362","106,652","35,404","5,028","40,432","147,084"
2/20/14,"36,533","23,705","36,530","4,576","101,344","28,937","5,056","33,993","135,337"
2/21/14,"35,793","22,653","35,835","4,595","98,876","27,992","4,876","32,868","131,744"
2/22/14,"30,679","18,465","42,703","2,138","93,985","38,638","1,824","40,462","134,447"
2/23/14,"33,525","19,662","36,797","1,401","91,385","30,085",921,"31,006","122,391"
2/24/14,"35,842","23,647","34,985","5,189","99,663","32,480","5,093","37,573","137,236"
2/25/14,"35,710","23,695","37,983","5,714","103,102","34,238","5,720","39,958","143,060"
2/26/14,"36,022","24,179","34,630","5,367","100,198","30,355","5,439","35,794","135,992"
2/27/14,"37,575","25,311","38,465","5,625","106,976","32,406","6,477","38,883","145,859"
2/28/14,"36,997","24,809","38,025","4,813","104,644","29,992","5,270","35,262","139,906"
3/1/14,"30,475","16,866","28,667","1,938","77,946","27,056","1,733","28,789","106,735"
3/2/14,"32,008","17,469","23,829","1,396","74,702","20,102","1,005","21,107","95,809"
3/3/14,"32,972","20,114","29,445","2,872","85,403","27,427","3,018","30,445","115,848"
3/4/14,"35,998","23,391","35,481","4,651","99,521","35,684","4,536","40,220","139,741"
3/5/14,"36,853","24,119","36,833","5,205","103,010","32,143","5,015","37,158","140,168"
3/6/14,"38,221","25,225","36,909","5,083","105,438","33,350","5,151","38,501","143,939"
3/7/14,"37,893","25,222","41,675","4,833","109,623","36,445","5,188","41,633","151,256"
3/8/14,"32,417","19,409","42,400","2,217","96,443","38,715","1,618","40,333","136,776"
3/9/14,"35,006","20,989","39,479","1,868","97,342","30,004",844,"30,848","128,190"
3/10/14,"36,952","24,077","41,049","4,206","106,284","40,257","5,077","45,334","151,618"
3/11/14,"37,214","24,957","42,335","5,321","109,827","39,786","5,703","45,489","155,316"
3/12/14,"36,327","22,982","33,214","4,884","97,407","27,608","6,033","33,641","131,048"
3/13/14,"38,320","25,346","43,859","5,136","112,661","37,525","6,352","43,877","156,538"
3/14/14,"38,687","25,985","46,831","5,437","116,940","38,039","5,071","43,110","160,050"
3/15/14,"32,693","19,391","38,707","1,851","92,642","33,936","1,398","35,334","127,976"
3/16/14,"35,074","19,614","31,263","1,310","87,261","21,937",732,"22,669","109,930"
3/17/14,"36,484","22,244","30,076","3,923","92,727","28,243","3,478","31,721","124,448"
3/18/14,"37,774","24,145","38,511","5,014","105,444","32,648","5,163","37,811","143,255"
3/19/14,"38,033","25,249","41,466","5,341","110,089","37,081","5,879","42,960","153,049"
3/20/14,"39,219","25,908","47,949","5,756","118,832","42,392","5,869","48,261","167,093"
3/21/14,"38,829","25,648","47,260","4,921","116,658","40,360","4,622","44,982","161,640"
3/22/14,"32,832","19,140","37,639","1,558","91,169","35,345","1,050","36,395","127,564"
3/23/14,"35,353","20,859","37,830","1,583","95,625","30,574",793,"31,367","126,992"
3/24/14,"37,156","23,928","37,505","4,444","103,033","37,400","4,368","41,768","144,801"
3/25/14,"37,268","24,199","33,730","5,274","100,471","30,862","5,646","36,508","136,979"
3/26/14,"37,945","23,998","34,694","5,500","102,137","27,673","5,760","33,433","135,570"
3/27/14,"38,670","25,383","37,242","4,793","106,088","32,283","4,583","36,866","142,954"
3/28/14,"38,593","24,909","35,670","3,853","103,025","32,633","3,198","35,831","138,856"
3/29/14,"32,481","18,181","32,866","1,507","85,035","30,126",655,"30,781","115,816"
3/30/14,"35,185","19,743","34,297","1,415","90,640","26,201",809,"27,010","117,650"
3/31/14,"36,956","23,109","37,741","4,090","101,896","33,149","4,511","37,660","139,556"
4/1/14,"37,268","23,401","38,952","5,335","104,956","35,345","5,467","40,812","145,768"
4/2/14,"37,520","24,246","41,553","5,208","108,527","37,824","5,596","43,420","151,947"
4/3/14,"38,267","23,677","40,300","4,770","107,014","32,901","5,014","37,915","144,929"
4/4/14,"38,634","24,210","37,936","4,119","104,899","33,035","3,844","36,879","141,778"
4/5/14,"32,143","18,730","40,826","2,495","94,194","33,912","1,766","35,678","129,872"
4/6/14,"34,843","20,044","40,349","1,631","96,867","29,931",910,"30,841","127,708"
4/7/14,"36,578","22,658","34,282","3,427","96,945","31,973","3,658","35,631","132,576"
4/8/14,"37,361","24,544","36,857","5,292","104,054","32,151","5,474","37,625","141,679"
4/9/14,"37,361","25,628","49,544","5,615","118,148","44,995","5,821","50,816","168,964"
4/10/14,"38,562","26,421","47,822","5,769","118,574","39,414","6,126","45,540","164,114"
4/11/14,"38,388","26,887","51,050","4,829","121,154","45,669","4,712","50,381","171,535"
4/12/14,"31,238","19,296","43,662","2,065","96,261","36,953","1,696","38,649","134,910"
4/13/14,"34,717","20,389","31,811","1,535","88,452","22,972",824,"23,796","112,248"
4/14/14,"36,808","23,388","31,428","3,270","94,894","27,272","3,003","30,275","125,169"
4/15/14,"36,492","23,951","35,953","4,518","100,914","33,988","4,952","38,940","139,854"
4/16/14,"37,643","26,477","43,171","5,422","112,713","36,453","6,180","42,633","155,346"
4/17/14,"38,565","27,814","44,936","5,613","116,928","40,744","5,512","46,256","163,184"
4/18/14,"37,515","24,941","43,129","3,325","108,910","41,016","3,900","44,916","153,826"
4/19/14,"30,406","17,750","39,375",948,"88,479","36,565",891,"37,456","125,935"
4/20/14,"33,605","19,410","29,552",444,"83,011","20,365",416,"20,781","103,792"
4/21/14,"36,824","25,202","44,223","4,133","110,382","39,743","4,618","44,361","154,743"
4/22/14,"37,016","26,003","41,556","5,605","110,180","39,143","5,346","44,489","154,669"
4/23/14,"37,382","25,552","45,201","5,081","113,216","38,564","5,748","44,312","157,528"
4/24/14,"38,609","26,269","43,832","4,939","113,649","37,325","4,927","42,252","155,901"
4/25/14,"38,364","25,696","43,957","4,748","112,765","39,139","3,893","43,032","155,797"
4/26/14,"31,055","18,516","36,951","1,684","88,206","29,644",994,"30,638","118,844"
4/27/14,"34,690","20,460","33,333","1,634","90,117","24,556",489,"25,045","115,162"
4/28/14,"37,038","23,341","36,753","3,689","100,821","32,032","3,590","35,622","136,443"
4/29/14,"36,576","23,030","32,020","3,883","95,509","25,487","3,941","29,428","124,937"
4/30/14,"36,662","23,799","34,477","4,213","99,151","25,566","4,256","29,822","128,973"
5/1/14,"38,711","26,096","42,287","5,098","112,192","34,756","5,376","40,132","152,324"
5/2/14,"38,388","25,955","46,428","4,381","115,152","39,800","3,733","43,533","158,685"
5/3/14,"30,748","19,023","39,564","2,457","91,792","35,054","2,026","37,080","128,872"
5/4/14,"34,804","21,697","39,115","2,199","97,815","26,921","1,193","28,114","125,929"
5/5/14,"36,738","24,573","42,367","4,008","107,686","38,885","4,547","43,432","151,118"
5/6/14,"37,220","25,391","44,881","5,026","112,518","39,253","5,698","44,951","157,469"
5/7/14,"37,880","25,981","45,165","5,181","114,207","41,689","5,144","46,833","161,040"
5/8/14,"37,750","25,311","40,262","4,924","108,247","34,362","4,413","38,775","147,022"
5/9/14,"38,394","25,584","39,123","3,813","106,914","34,890","3,143","38,033","144,947"
5/10/14,"30,674","18,175","35,845","1,282","85,976","34,156",706,"34,862","120,838"
5/11/14,"33,877","18,509","29,062","1,246","82,694","21,602",545,"22,147","104,841"
5/12/14,"35,879","22,985","37,103","3,887","99,854","31,725","3,847","35,572","135,426"
5/13/14,"36,288","23,711","39,404","4,929","104,332","32,763","4,712","37,475","141,807"
5/14/14,"38,046","25,221","39,935","4,373","107,575","33,484","4,494","37,978","145,553"
